,coconut_id_keyname,identifier_list,Molecular Weight,LogP,Molecular Formula,Number of H-Donors,Number of Rings,Number of H-Acceptors,Chi Connectivity Indices,Kappa Shape Indices,number_of_broken_Lipinski_Rules
86,CNP0377919,"InChI=1S/C7H5NO3/c9-4-1-2-5-6(3-4)11-7(10)8-5/h1-3,9H,(H,8,10)",151.12099999999998,0.8266999999999998,C7H5NO3,2,2,3,5.254020195423489,6.0296766842236,0
87,CNP0392208,"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H",155.10899999999998,1.0059999999999998,C6H5NO4,2,1,4,5.1090609052806215,7.328459869848155,0
88,CNP0414254,"InChI=1S/C7H5BrO3/c8-5-3-4(7(10)11)1-2-6(5)9/h1-3,9H,(H,10,11)",217.01799999999997,1.8528999999999998,C7H5BrO3,2,1,2,5.1090609052806215,8.070300902708127,0
89,CNP0230203,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",138.12199999999999,1.0903999999999998,C7H6O3,2,1,2,4.715214055163269,6.607785630153122,0
90,CNP0086341,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)/p-1",153.113,0.16399999999999976,C7H5O4-,2,1,3,5.1090609052806215,7.397642626480085,0
91,CNP0200151,"InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)",154.12099999999998,0.7959999999999998,C7H6O4,3,1,3,5.125897657686229,7.397642626480087,0
92,CNP0268248,"InChI=1S/C7H8O2/c1-9-7-4-2-3-6(8)5-7/h2-5,8H,1H3",124.13899999999998,1.4008,C7H8O2,1,1,2,4.325698502695489,5.947877237851663,0
93,CNP0232327,"InChI=1S/C8H7NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5H2",133.14999999999998,1.45828,C8H7NO,1,1,2,4.825698502695489,6.627508813160988,0
94,CNP0103281,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",124.13899999999998,0.8844999999999998,C7H8O2,2,1,2,4.325698502695489,6.105313283208021,0
95,CNP0324010,"InChI=1S/C7H8O2/c1-5-4-6(8)2-3-7(5)9/h2-4,8-9H,1H3",124.13899999999998,1.4062199999999998,C7H8O2,2,1,2,4.198377302757663,5.947877237851663,0
96,CNP0104167,"InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2",124.13899999999998,0.8845000000000001,C7H8O2,2,1,2,4.3425352551010965,6.105313283208021,0
97,CNP0080275,"InChI=1S/C7H6O4/c8-3-4-1-2-5(9)7(11)6(4)10/h1-3,9-11H",154.12099999999998,0.6158999999999997,C7H6O4,3,1,4,5.163902460147014,7.397642626480085,0
98,CNP0231136,"InChI=1S/C7H7NO2/c9-5-8-6-3-1-2-4-7(6)10/h1-5,10H,(H,8,9)",137.13799999999998,1.6099999999999999,C7H7NO2,2,1,2,4.842535255101096,6.607785630153122,0
99,CNP0288393,"InChI=1S/C8H6O3/c9-4-6-2-1-3-8(11)7(6)5-10/h1-5,11H",150.13299999999998,1.0171999999999999,C8H6O3,1,1,3,5.291223660084841,7.466837606837607,0
